"ID_SAMPLE","Dominant_num","Dominant","Subdominant_num","Subdominant","Third","Third_num"
26140,13,"TEDE",22,"GRAM","CMIX",9
21781,17,"ENWD",15,"CENF",NA,NA
26268,9,"CMIX",NA,NA,NA,NA
22413,9,"CMIX",13,"TEDE",NA,NA
22439,9,"CMIX",13,"TEDE",NA,NA
22490,13,"TEDE",NA,NA,NA,NA
22499,22,"GRAM",13,"TEDE",NA,NA
22562,4,"WTSFS",NA,NA,NA,NA
26382,9,"CMIX",13,"TEDE",NA,NA
26385,9,"CMIX",13,"TEDE",NA,NA
26131,NA,NA,22,"GRAM",NA,NA
26209,NA,NA,22,"GRAM",NA,NA
26210,13,"TEDE",NA,NA,NA,NA
26137,NA,NA,22,"GRAM",NA,NA
26115,9,"CMIX",NA,NA,NA,NA
24675,9,"CMIX",NA,NA,NA,NA
987,9,"CMIX",NA,NA,NA,NA
24676,9,"CMIX",13,"TEDE",NA,NA
988,9,"CMIX",13,"TEDE",NA,NA
24677,9,"CMIX",8,"CMIX",NA,NA
989,9,"CMIX",8,"CMIX",NA,NA
26095,9,"CMIX",NA,NA,NA,NA
26276,9,"CMIX",NA,NA,NA,NA
26225,9,"CMIX",NA,NA,NA,NA
26122,15,"CENF",NA,NA,NA,NA
26184,15,"CENF",8,"CMIX",NA,NA
26201,9,"CMIX",NA,NA,NA,NA
24678,9,"CMIX",13,"TEDE",NA,NA
24680,9,"CMIX",13,"TEDE",NA,NA
693,9,"CMIX",13,"TEDE",NA,NA
990,9,"CMIX",13,"TEDE",NA,NA
26073,9,"CMIX",13,"TEDE",NA,NA
26159,15,"CENF",NA,NA,"CMIX",9
20405,31,"TUND",15,"CENF","TUND",30
20449,15,"CENF",31,"TUND",NA,NA
20456,15,"CENF",31,"TUND",NA,NA
20457,15,"CENF",31,"TUND",NA,NA
20458,15,"CENF",31,"TUND",NA,NA
20459,15,"CENF",31,"TUND",NA,NA
20460,15,"CENF",31,"TUND",NA,NA
20450,15,"CENF",31,"TUND",NA,NA
20451,15,"CENF",31,"TUND",NA,NA
20452,15,"CENF",31,"TUND",NA,NA
20461,15,"CENF",31,"TUND",NA,NA
20462,15,"CENF",31,"TUND",NA,NA
20463,15,"CENF",31,"TUND",NA,NA
20453,15,"CENF",31,"TUND",NA,NA
20455,15,"CENF",31,"TUND",NA,NA
20486,15,"CENF",31,"TUND",NA,NA
20488,15,"CENF",31,"TUND",NA,NA
20464,15,"CENF",31,"TUND",NA,NA
20477,15,"CENF",31,"TUND",NA,NA
20480,15,"CENF",31,"TUND",NA,NA
20466,15,"CENF",31,"TUND",NA,NA
20481,15,"CENF",31,"TUND",NA,NA
20482,15,"CENF",31,"TUND",NA,NA
20483,15,"CENF",31,"TUND",NA,NA
20484,15,"CENF",31,"TUND",NA,NA
20485,15,"CENF",31,"TUND",NA,NA
20467,15,"CENF",31,"TUND",NA,NA
20468,15,"CENF",31,"TUND",NA,NA
20469,15,"CENF",31,"TUND",NA,NA
20470,15,"CENF",31,"TUND",NA,NA
20471,15,"CENF",31,"TUND",NA,NA
20472,15,"CENF",31,"TUND",NA,NA
20473,15,"CENF",31,"TUND",NA,NA
20474,15,"CENF",31,"TUND",NA,NA
20475,15,"CENF",31,"TUND",NA,NA
20478,15,"CENF",31,"TUND",NA,NA
20479,15,"CENF",31,"TUND",NA,NA
20489,9,"CMIX",13,"TEDE","CMIX",8
20490,9,"CMIX",13,"TEDE",NA,NA
20491,9,"CMIX",13,"TEDE",NA,NA
20695,9,"CMIX",NA,NA,NA,NA
20696,9,"CMIX",NA,NA,NA,NA
20697,9,"CMIX",NA,NA,NA,NA
20698,9,"CMIX",NA,NA,NA,NA
20699,9,"CMIX",NA,NA,NA,NA
20700,9,"CMIX",NA,NA,NA,NA
20702,9,"CMIX",NA,NA,NA,NA
20703,9,"CMIX",NA,NA,NA,NA
20704,NA,NA,9,"CMIX",NA,NA
20705,9,"CMIX",NA,NA,NA,NA
20706,15,"CENF",NA,NA,"CMIX",9
20707,9,"CMIX",15,"CENF",NA,NA
20708,9,"CMIX",15,"CENF",NA,NA
20709,15,"CENF",31,"TUND",NA,NA
20710,15,"CENF",31,"TUND",NA,NA
20711,15,"CENF",NA,NA,"TUND",31
20713,15,"CENF",NA,NA,"TUND",31
20714,15,"CENF",NA,NA,NA,NA
20715,15,"CENF",NA,NA,NA,NA
20716,15,"CENF",NA,NA,NA,NA
26088,9,"CMIX",13,"TEDE",NA,NA
26198,15,"CENF",NA,NA,NA,NA
26251,9,"CMIX",NA,NA,NA,NA
25982,9,"CMIX",NA,NA,NA,NA
26109,9,"CMIX",NA,NA,NA,NA
21392,15,"CENF",NA,NA,"TUND",31
21393,15,"CENF",NA,NA,"TUND",31
21394,9,"CMIX",8,"CMIX",NA,NA
21395,9,"CMIX",15,"CENF",NA,NA
21396,9,"CMIX",15,"CENF",NA,NA
21397,9,"CMIX",NA,NA,NA,NA
21398,15,"CENF",NA,NA,"CMIX",9
21399,9,"CMIX",13,"TEDE","CMIX",8
21400,9,"CMIX",8,"CMIX",NA,NA
21401,8,"CMIX",9,"CMIX",NA,NA
21402,9,"CMIX",8,"CMIX","TEDE",13
21403,9,"CMIX",8,"CMIX",NA,NA
21404,15,"CENF",NA,NA,NA,NA
21405,9,"CMIX",30,"TUND","CENF",15
21406,9,"CMIX",15,"CENF","TUND",30
21407,30,"TUND",9,"CMIX",NA,NA
21408,13,"TEDE",30,"TUND","CMIX",9
21409,8,"CMIX",9,"CMIX","TEDE",13
21410,9,"CMIX",8,"CMIX","TEDE",13
21411,15,"CENF",9,"CMIX",NA,NA
21412,9,"CMIX",15,"CENF",NA,NA
21413,15,"CENF",9,"CMIX",NA,NA
21414,9,"CMIX",15,"CENF",NA,NA
21415,15,"CENF",NA,NA,"TUND",31
21416,9,"CMIX",15,"CENF",NA,NA
21417,9,"CMIX",NA,NA,"CENF",15
21418,9,"CMIX",15,"CENF",NA,NA
21419,9,"CMIX",NA,NA,"CENF",15
21420,9,"CMIX",15,"CENF",NA,NA
21421,9,"CMIX",NA,NA,"CENF",15
21422,9,"CMIX",NA,NA,NA,NA
21423,9,"CMIX",NA,NA,NA,NA
21424,9,"CMIX",NA,NA,"CENF",15
21425,9,"CMIX",NA,NA,"CENF",15
21426,15,"CENF",NA,NA,NA,NA
21427,15,"CENF",NA,NA,"CMIX",8
21428,15,"CENF",NA,NA,"CMIX",9
21429,15,"CENF",NA,NA,"CMIX",9
21430,15,"CENF",9,"CMIX",NA,NA
21431,9,"CMIX",NA,NA,"CENF",15
21432,15,"CENF",9,"CMIX",NA,NA
21433,9,"CMIX",15,"CENF",NA,NA
21434,9,"CMIX",15,"CENF",NA,NA
21435,9,"CMIX",15,"CENF",NA,NA
21436,15,"CENF",9,"CMIX",NA,NA
21437,30,"TUND",NA,NA,"CENF",15
21438,9,"CMIX",8,"CMIX",NA,NA
21439,8,"CMIX",NA,NA,"CMIX",9
21440,9,"CMIX",8,"CMIX",NA,NA
21441,9,"CMIX",8,"CMIX",NA,NA
21442,9,"CMIX",15,"CENF",NA,NA
21443,9,"CMIX",8,"CMIX","CENF",15
21444,9,"CMIX",15,"CENF",NA,NA
21445,9,"CMIX",15,"CENF",NA,NA
21446,9,"CMIX",8,"CMIX","CENF",15
21447,15,"CENF",9,"CMIX",NA,NA
21448,15,"CENF",31,"TUND",NA,NA
21449,9,"CMIX",8,"CMIX",NA,NA
21450,15,"CENF",NA,NA,"TUND",31
21451,15,"CENF",NA,NA,NA,NA
21452,15,"CENF",NA,NA,NA,NA
21453,15,"CENF",NA,NA,NA,NA
21454,15,"CENF",NA,NA,NA,NA
21455,15,"CENF",NA,NA,NA,NA
21456,15,"CENF",NA,NA,NA,NA
21472,15,"CENF",NA,NA,NA,NA
21457,15,"CENF",NA,NA,"TUND",31
21458,15,"CENF",NA,NA,"TUND",31
21459,31,"TUND",15,"CENF",NA,NA
21460,15,"CENF",31,"TUND",NA,NA
21461,15,"CENF",NA,NA,NA,NA
21462,15,"CENF",NA,NA,NA,NA
21463,15,"CENF",NA,NA,NA,NA
21464,15,"CENF",NA,NA,NA,NA
21465,15,"CENF",NA,NA,NA,NA
21466,15,"CENF",NA,NA,NA,NA
21467,15,"CENF",NA,NA,NA,NA
21468,15,"CENF",NA,NA,NA,NA
21469,15,"CENF",NA,NA,NA,NA
21470,15,"CENF",NA,NA,NA,NA
21471,15,"CENF",NA,NA,NA,NA
21473,15,"CENF",NA,NA,NA,NA
21474,15,"CENF",31,"TUND",NA,NA
21475,15,"CENF",NA,NA,"TUND",31
21476,15,"CENF",NA,NA,NA,NA
21477,15,"CENF",NA,NA,NA,NA
21478,15,"CENF",NA,NA,NA,NA
21479,NA,NA,9,"CMIX","CENF",15
21480,NA,NA,9,"CMIX","CENF",15
21481,15,"CENF",NA,NA,NA,NA
21482,9,"CMIX",NA,NA,"CENF",15
21483,9,"CMIX",NA,NA,"TUND",31
21484,NA,NA,31,"TUND","CENF",15
21485,15,"CENF",9,"CMIX","TUND",31
21486,15,"CENF",31,"TUND",NA,NA
21487,15,"CENF",NA,NA,"TUND",31
21488,31,"TUND",15,"CENF",NA,NA
21489,15,"CENF",NA,NA,"CMIX",9
21490,9,"CMIX",NA,NA,"CENF",15
21491,15,"CENF",NA,NA,"CMIX",9
21492,15,"CENF",NA,NA,NA,NA
21493,9,"CMIX",15,"CENF",NA,NA
21494,9,"CMIX",NA,NA,"TEDE",13
21495,9,"CMIX",15,"CENF",NA,NA
21496,15,"CENF",31,"TUND",NA,NA
21497,15,"CENF",NA,NA,"TUND",31
21498,15,"CENF",31,"TUND",NA,NA
21499,15,"CENF",9,"CMIX",NA,NA
21500,15,"CENF",9,"CMIX",NA,NA
21501,15,"CENF",NA,NA,"CMIX",9
21502,15,"CENF",NA,NA,"CMIX",9
21503,30,"TUND",31,"TUND",NA,NA
21504,NA,NA,15,"CENF","CMIX",9
21505,15,"CENF",31,"TUND",NA,NA
21506,15,"CENF",9,"CMIX",NA,NA
21507,15,"CENF",NA,NA,"CMIX",9
21508,15,"CENF",NA,NA,"CMIX",9
21509,31,"TUND",15,"CENF",NA,NA
21510,15,"CENF",9,"CMIX",NA,NA
21511,15,"CENF",9,"CMIX",NA,NA
21512,15,"CENF",NA,NA,NA,NA
21513,15,"CENF",9,"CMIX",NA,NA
21514,15,"CENF",9,"CMIX",NA,NA
21515,15,"CENF",31,"TUND",NA,NA
21516,15,"CENF",9,"CMIX",NA,NA
21517,9,"CMIX",15,"CENF",NA,NA
21518,9,"CMIX",15,"CENF",NA,NA
21519,15,"CENF",9,"CMIX",NA,NA
21520,15,"CENF",9,"CMIX",NA,NA
21521,9,"CMIX",NA,NA,"CENF",15
21522,9,"CMIX",15,"CENF",NA,NA
21523,9,"CMIX",15,"CENF",NA,NA
21524,9,"CMIX",15,"CENF",NA,NA
21525,9,"CMIX",15,"CENF",NA,NA
21526,15,"CENF",31,"TUND",NA,NA
21527,9,"CMIX",15,"CENF",NA,NA
21528,15,"CENF",9,"CMIX",NA,NA
21529,9,"CMIX",NA,NA,"CENF",15
