"taxon_name","Mean_CENF","Mean_CMIX","Mean_DESE","Mean_ENWD","Mean_GRAM","Mean_TEDE","Mean_TUND","Mean_WTSFS","Mean_XSHB","Stdev_CENF","Stdev_CMIX","Stdev_DESE","Stdev_ENWD","Stdev_GRAM","Stdev_TEDE","Stdev_TUND","Stdev_WTSFS","Stdev_XSHB"
"Abies",0.106497011392405,0.801147757161693,0.00147206029558971,0.515738568749648,0.0273610207531683,0.473395612097289,0,0.769887515916565,0.0389287784810127,0.658330876887254,2.41507235726366,0.0121389201719886,1.41056239250931,0.087449410743454,1.65964827193801,0,5.27843691361271,0.306421966392082
"Acanthaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer",0.0189674746835443,0.274157256962025,0,0.0661385285666236,0.0137692745657013,0.517040856975583,0.000715615789473684,0.0175555607620278,0.00157245063291139,0.109178670566212,1.17067972306726,0,0.241728609796054,0.0789436464069041,2.15783686316829,0.00390998972741569,0.0795800814872424,0.0139762469369474
"Aconitum",0.00211676075949367,0.000744283544303797,0,0,0,0,0.0320959210526316,0,0,0.0188141811653244,0.00661533684338087,0,0,0,0,0.242318889994889,0,0
"Adonis",0,0,0,0,0.00224436663973427,0,0,0,0,0,0,0,0,0.0199483670376954,0,0,0,0
"Adoxaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aesculus",0,6.77215189873418e-05,0,0,0,0,0,0,0,0,0.000601922026995423,0,0,0,0,0,0,0
"Ailanthus",0,0.00107821392405063,0,0,0,0,0,0,0,0,0.00958337498041877,0,0,0,0,0,0,0
"Aizoaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alnus",5.3968111721519,5.05199373394779,3.6461539493619,3.76265150495836,0.591405677012487,3.81808122990009,1.57752214210526,0.86515606732324,0.00863826835443038,6.5346369665086,5.48489886970333,9.88908133904048,6.97516644840535,1.60116187580499,7.81990212924207,2.27631302211859,2.93909969608898,0.0594235153367185
"Alnus alnobetula",0,0.688485141772152,0,0,0,0.00244367341772152,0,0,0,0,1.47910988870231,0,0,0,0.0217198444291349,0,0,0
"Amaranthaceae",0.422174689873418,0.563033830370068,24.2538607081031,9.18639778463654,19.5398520215429,3.64189374214305,0.116107826315789,2.14055124799278,3.29898802153797,1.19935685546726,0.732207307225666,25.1576179421414,13.5537608278275,22.3199559863851,6.43157088690349,0.223942287724446,3.88870618192261,5.77661556746236
"Amaryllidaceae",0,0,0.00532821764705882,0,0,0,0,0.00763026455696203,0.00290993797468354,0,0,0.0439376083102071,0,0,0,0,0.0492035940187874,0.0258640944613169
"Anacardiaceae",0,0,0,0.00295063586202827,0,0,0,0,0,0,0,0,0.0262258251964108,0,0,0,0,0
"Andromeda",0.00416101012658228,0,0,0,0,0,0.00462964561403509,0,0,0.0310405305393944,0,0,0,0,0,0.0215028772182358,0,0
"Apiaceae",0.152910346835443,0.610900614306529,0.857119198089289,1.3188840335037,1.14823228121774,0.57140885249511,0.202654978947368,0.676182761211443,1.80235887699233,0.439540597937082,1.86060516040226,1.78720984223119,1.73309677803329,4.00225965845504,1.76092270211921,0.598990378020172,1.05177039034628,4.00645329872491
"Aquilegia",0,0,0,0.00876691654358592,0,0,0,0,0,0,0,0,0.0446871391640667,0,0,0,0,0
"Araceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arbutus",0,0,0,0,0,0.0376885936708861,0,0.220541563291139,0.0172090708860759,0,0,0,0,0,0.186721375724657,0,1.26678533774314,0.152957567776808
"Arctostaphylos",0.0234975506329114,0.00131583164556962,0,0,0,0,0.0401128122807018,0,0,0.104660252359873,0.0085409854117802,0,0,0,0,0.153370758221172,0,0
"Argania",0,0,2.71093289705882,0,0.0186150405063291,0,0,0,2.86645416075949,0,0,11.7661974975447,0,0.165454099106458,0,0,0,10.3163915377879
"Aristolochiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
